# HOMER Peaks
# Peak finding parameters:
# tag directory = USF2_tags/
#
# total peaks = 20375
# peak size = 318
# peaks found using tags on both strands
# minimum distance between peaks = 636
# fragment length = 150
# genome size = 2000000000
# Total tags = 15985705.0
# Total tags in peaks = 1288648.0
# Approximate IP efficiency = 8.06%
# tags per bp = 0.007993
# expected tags per peak = 2.542
# maximum tags considered per bp = 1.0
# effective number of tags used for normalization = 10000000.0
# Peaks have been centered at maximum tag pile-up
# FDR rate threshold = 0.001000000
# FDR effective poisson threshold = 2.845597e-06
# FDR tag threshold = 13.0
# number of putative peaks = 40570
#
# input tag directory = INPUT_tags/
# Fold over input required = 4.00
# Poisson p-value over input required = 1.00e-04
# Putative peaks filtered by input = 18904
#
# size of region used for local filtering = 10000
# Fold over local region required = 4.00
# Poisson p-value over local region required = 1.00e-04
# Putative peaks filtered by local signal = 1291
#
# Maximum fold under expected unique positions for tags = 2.00
# Putative peaks filtered for being too clonal = 0
#
# cmd = findPeaks USF2_tags/ -style factor -i INPUT_tags/ -o USF2_peaks.txt
#
# Column Headers:
#PeakID	chr	start	end	strand	Normalized Tag Count	focus ratio	findPeaks Score	Total Tags	Control Tags (normalized to IP Experiment)	Fold Change vs Control	p-value vs Control	Fold Change vs Local	p-value vs Local	Clonal Fold Change
chr2-1083	chr2	201821149	201821467	+	20.0	0.941	32.000000	32.0	1.5	20.86	7.56e-31	16.80	5.43e-28	0.95
chr2-1084	chr2	205748033	205748351	+	20.0	0.914	32.000000	32.0	4.6	6.95	7.22e-17	11.74	2.35e-23	0.95
chr2-1089	chr2	218316646	218316964	+	20.0	0.744	32.000000	32.0	7.7	4.17	4.72e-11	8.40	3.70e-19	0.95
chr2-1045	chr2	223059246	223059564	+	20.0	0.889	33.000000	32.0	4.1	7.82	2.73e-18	12.33	5.49e-24	0.95
chr2-1048	chr2	237549561	237549879	+	20.0	0.816	33.000000	32.0	5.6	5.69	1.66e-14	6.86	1.05e-16	0.95
chr2-1096	chr2	239009509	239009827	+	20.0	0.816	32.000000	32.0	3.1	10.43	7.36e-22	11.20	9.32e-23	0.95
chr3-531	chr3	9947250	9947568	+	20.0	0.750	32.000000	32.0	7.2	4.47	8.49e-12	16.51	9.09e-28	0.95
chr3-514	chr3	58085176	58085494	+	20.0	0.784	33.000000	32.0	5.1	6.26	1.28e-15	16.51	9.09e-28	0.95
chr3-503	chr3	73024928	73025246	+	20.0	0.762	34.000000	32.0	4.1	7.82	2.73e-18	11.20	9.32e-23	0.95
chr3-538	chr3	108031901	108032219	+	20.0	0.912	32.000000	32.0	2.6	12.52	3.53e-24	19.49	6.06e-30	0.95
chr3-489	chr3	110938696	110939014	+	20.0	0.892	35.000000	32.0	2.6	12.52	3.53e-24	15.71	4.04e-27	0.95
chr3-506	chr3	113158204	113158522	+	20.0	0.846	34.000000	32.0	2.0	15.65	4.59e-27	19.10	1.11e-29	0.95
chr3-516	chr3	122929830	122930148	+	20.0	0.895	33.000000	32.0	3.1	10.43	7.36e-22	10.95	1.81e-22	0.95
chr3-539	chr3	126417273	126417591	+	20.0	0.941	32.000000	32.0	2.6	12.52	3.53e-24	12.99	1.18e-24	0.95
chr3-541	chr3	129078539	129078857	+	20.0	0.886	32.000000	32.0	2.6	12.52	3.53e-24	15.97	2.48e-27	0.95
chr3-542	chr3	152258418	152258736	+	20.0	0.619	32.000000	32.0	6.1	5.22	1.64e-13	10.95	1.81e-22	0.95
chr3-523	chr3	183884770	183885088	+	20.0	0.889	33.000000	32.0	7.7	4.17	4.72e-11	16.24	1.51e-27	0.95
chr3-549	chr3	185585849	185586167	+	20.0	0.897	32.000000	32.0	6.1	5.22	1.64e-13	17.71	1.09e-28	0.95
chr3-525	chr3	186442221	186442539	+	20.0	0.917	33.000000	32.0	2.0	15.65	4.59e-27	17.40	1.88e-28	0.95
chr3-526	chr3	186806798	186807116	+	20.0	0.825	33.000000	32.0	5.1	6.26	1.28e-15	12.99	1.18e-24	0.95
chr3-529	chr3	194508766	194509084	+	20.0	0.886	33.000000	32.0	4.1	7.82	2.73e-18	15.22	1.05e-26	0.95
chr4-316	chr4	4183191	4183509	+	20.0	0.714	33.000000	32.0	4.6	6.95	7.22e-17	21.18	4.78e-31	0.95
chr4-317	chr4	5639554	5639872	+	20.0	0.912	33.000000	32.0	1.0	31.30	2.87e-36	19.10	1.11e-29	0.95
chr4-318	chr4	8991424	8991742	+	20.0	0.886	33.000000	32.0	1.0	31.30	2.87e-36	38.97	3.05e-39	0.95
chr4-303	chr4	9152563	9152881	+	20.0	0.762	34.000000	32.0	5.1	6.26	1.28e-15	16.80	5.43e-28	0.95
chr4-320	chr4	56435326	56435644	+	20.0	0.681	33.000000	32.0	7.2	4.47	8.49e-12	5.90	6.17e-15	0.95
chr4-321	chr4	71069046	71069364	+	20.0	0.795	33.000000	32.0	0.5	62.59	1.08e-45	16.80	5.43e-28	0.95
chr4-308	chr4	73405181	73405499	+	20.0	0.821	34.000000	32.0	4.1	7.82	2.73e-18	6.58	3.26e-16	0.95
chr4-322	chr4	76087134	76087452	+	20.0	0.895	33.000000	32.0	5.1	6.26	1.28e-15	14.54	4.12e-26	0.95
chr4-309	chr4	83034784	83035102	+	20.0	0.787	34.000000	32.0	6.6	4.81	1.30e-12	11.20	9.32e-23	0.95
chr4-310	chr4	88158877	88159195	+	20.0	0.825	34.000000	32.0	6.6	4.81	1.30e-12	15.22	1.05e-26	0.95
chr4-311	chr4	124426294	124426612	+	20.0	0.868	34.000000	32.0	2.0	15.65	4.59e-27	19.88	3.28e-30	0.95
chr4-327	chr4	152957312	152957630	+	20.0	0.775	33.000000	32.0	4.1	7.82	2.73e-18	15.71	4.04e-27	0.95
chr4-328	chr4	154471540	154471858	+	20.0	0.917	33.000000	32.0	3.1	10.43	7.36e-22	21.18	4.78e-31	0.95
chr5-407	chr5	11563858	11564176	+	20.0	0.861	33.000000	32.0	2.0	15.65	4.59e-27	14.76	2.63e-26	0.95
chr5-425	chr5	14995203	14995521	+	20.0	0.917	32.000000	32.0	1.5	20.86	7.56e-31	15.22	1.05e-26	0.95
chr5-409	chr5	52668856	52669174	+	20.0	0.889	33.000000	32.0	2.6	12.52	3.53e-24	17.40	1.88e-28	0.95
chr5-398	chr5	61304946	61305264	+	20.0	0.850	34.000000	32.0	2.6	12.52	3.53e-24	12.82	1.75e-24	0.95
chr5-411	chr5	68108988	68109306	+	20.0	0.919	33.000000	32.0	4.6	6.95	7.22e-17	31.43	2.52e-36	0.95
chr5-431	chr5	102271777	102272095	+	20.0	0.861	32.000000	32.0	4.1	7.82	2.73e-18	15.97	2.48e-27	0.95
chr5-412	chr5	113513513	113513831	+	20.0	0.842	33.000000	32.0	4.1	7.82	2.73e-18	17.40	1.88e-28	0.95
chr5-401	chr5	129095184	129095502	+	20.0	0.842	34.000000	32.0	4.6	6.95	7.22e-17	12.99	1.18e-24	0.95
chr5-415	chr5	139878135	139878453	+	20.0	0.914	33.000000	32.0	2.6	12.52	3.53e-24	23.76	1.41e-32	0.95
chr5-436	chr5	146049496	146049814	+	20.0	0.784	32.000000	32.0	5.6	5.69	1.66e-14	17.71	1.09e-28	0.95
chr5-417	chr5	157995166	157995484	+	20.0	0.917	33.000000	32.0	4.6	6.95	7.22e-17	19.10	1.11e-29	0.95
chr5-439	chr5	160439335	160439653	+	20.0	0.821	32.000000	32.0	6.1	5.22	1.64e-13	11.74	2.35e-23	0.95
chr5-418	chr5	168627790	168628108	+	20.0	0.889	33.000000	32.0	3.1	10.43	7.36e-22	11.46	4.72e-23	0.95
chr5-419	chr5	173853866	173854184	+	20.0	0.763	33.000000	32.0	3.6	8.94	6.23e-20	14.12	9.92e-26	0.95
chr5-420	chr5	174323903	174324221	+	20.0	0.868	33.000000	32.0	5.1	6.26	1.28e-15	20.73	9.21e-31	0.95
chr5-421	chr5	175816376	175816694	+	20.0	0.811	33.000000	32.0	2.6	12.52	3.53e-24	18.74	2.00e-29	0.95
chr6-519	chr6	3356042	3356360	+	20.0	0.667	35.000000	32.0	6.6	4.81	1.30e-12	5.98	4.45e-15	0.95
chr6-522	chr6	25748557	25748875	+	20.0	0.750	35.000000	32.0	7.2	4.47	8.49e-12	7.79	3.04e-18	0.95
chr6-539	chr6	37073011	37073329	+	20.0	0.872	34.000000	32.0	5.6	5.69	1.66e-14	8.70	1.37e-19	0.95
chr6-540	chr6	40768376	40768694	+	20.0	0.905	34.000000	32.0	2.6	12.52	3.53e-24	11.60	3.34e-23	0.95
chr6-542	chr6	41724727	41725045	+	20.0	0.878	34.000000	32.0	7.2	4.47	8.49e-12	8.12	9.63e-19	0.95
chr6-544	chr6	43875228	43875546	+	20.0	0.775	34.000000	32.0	4.1	7.82	2.73e-18	8.70	1.37e-19	0.95
chr6-567	chr6	63572265	63572583	+	20.0	0.531	33.000000	32.0	6.6	4.81	1.30e-12	5.02	4.38e-13	0.95
chr6-573	chr6	136347858	136348176	+	20.0	0.865	33.000000	32.0	3.1	10.43	7.36e-22	15.22	1.05e-26	0.95
chr6-574	chr6	138297757	138298075	+	20.0	0.810	33.000000	32.0	4.6	6.95	7.22e-17	9.65	7.08e-21	0.95
chr6-594	chr6	139189712	139190030	+	20.0	0.912	32.000000	32.0	2.0	15.65	4.59e-27	18.74	2.00e-29	0.95
chr6-575	chr6	142570405	142570723	+	20.0	0.795	33.000000	32.0	6.1	5.22	1.64e-13	11.33	6.65e-23	0.95
chr6-552	chr6	142947508	142947826	+	20.0	0.861	34.000000	32.0	6.6	4.81	1.30e-12	7.33	1.71e-17	0.95
chr6-596	chr6	145601604	145601922	+	20.0	0.857	32.000000	32.0	2.6	12.52	3.53e-24	15.46	6.53e-27	0.95
chr6-554	chr6	146543566	146543884	+	20.0	0.707	34.000000	32.0	3.6	8.94	6.23e-20	9.94	2.97e-21	0.95
chr6-597	chr6	148141272	148141590	+	20.0	0.861	32.000000	32.0	3.1	10.43	7.36e-22	15.97	2.48e-27	0.95
chr6-578	chr6	166530191	166530509	+	20.0	0.872	33.000000	32.0	1.5	20.86	7.56e-31	15.71	4.04e-27	0.95
chr6-579	chr6	166950929	166951247	+	20.0	0.892	33.000000	32.0	5.1	6.26	1.28e-15	7.92	1.93e-18	0.95
chr7-465	chr7	2280459	2280777	+	20.0	0.970	32.000000	32.0	2.6	12.52	3.53e-24	17.40	1.88e-28	0.95
chr7-449	chr7	4134708	4135026	+	20.0	0.806	33.000000	32.0	4.1	7.82	2.73e-18	12.65	2.57e-24	0.95
chr7-461	chr7	111192553	111192871	+	20.0	0.833	33.000000	32.0	1.5	20.86	7.56e-31	20.30	1.75e-30	0.95
chr7-463	chr7	157299790	157300108	+	20.0	0.838	33.000000	32.0	6.6	4.81	1.30e-12	7.99	1.53e-18	0.95
chr8-357	chr8	9237861	9238179	+	20.0	0.829	32.000000	32.0	2.0	15.65	4.59e-27	24.36	6.60e-33	0.95
chr8-312	chr8	19661157	19661475	+	20.0	0.854	36.000000	32.0	5.1	6.26	1.28e-15	10.59	4.75e-22	0.95
chr8-334	chr8	24415149	24415467	+	20.0	0.854	34.000000	32.0	4.6	6.95	7.22e-17	21.18	4.78e-31	0.95
chr8-360	chr8	29774123	29774441	+	20.0	0.811	32.000000	32.0	5.6	5.69	1.66e-14	6.17	1.92e-15	0.95
chr8-351	chr8	38721429	38721747	+	20.0	0.811	33.000000	32.0	6.1	5.22	1.64e-13	12.82	1.75e-24	0.95
chr8-363	chr8	95133392	95133710	+	20.0	0.750	32.000000	32.0	7.7	4.17	4.72e-11	11.33	6.65e-23	0.95
chr8-339	chr8	95181478	95181796	+	20.0	0.791	34.000000	32.0	3.1	10.43	7.36e-22	9.94	2.97e-21	0.95
chr8-343	chr8	117706607	117706925	+	20.0	0.829	34.000000	32.0	3.1	10.43	7.36e-22	15.97	2.48e-27	0.95
chr8-356	chr8	135705291	135705609	+	20.0	0.946	33.000000	32.0	4.1	7.82	2.73e-18	21.65	2.44e-31	0.95
chr9-459	chr9	86135436	86135754	+	20.0	0.865	32.000000	32.0	1.5	20.86	7.56e-31	21.18	4.78e-31	0.95
chr9-447	chr9	87604149	87604467	+	20.0	0.778	33.000000	32.0	3.6	8.94	6.23e-20	13.72	2.32e-25	0.95
chr9-462	chr9	98428537	98428855	+	20.0	0.778	32.000000	32.0	3.6	8.94	6.23e-20	21.18	4.78e-31	0.95
chr9-421	chr9	105695060	105695378	+	20.0	0.829	35.000000	32.0	4.1	7.82	2.73e-18	11.88	1.64e-23	0.95
chr9-465	chr9	110008703	110009021	+	20.0	0.722	32.000000	32.0	3.6	8.94	6.23e-20	24.98	3.03e-33	0.95
chr9-424	chr9	113650296	113650614	+	20.0	0.833	35.000000	32.0	6.1	5.22	1.64e-13	8.12	9.63e-19	0.95
chr9-449	chr9	121278814	121279132	+	20.0	0.892	33.000000	32.0	7.2	4.47	8.49e-12	7.73	3.79e-18	0.95
chr9-470	chr9	131069044	131069362	+	20.0	0.800	32.000000	32.0	5.6	5.69	1.66e-14	18.74	2.00e-29	0.95
chr9-452	chr9	133154553	133154871	+	20.0	0.865	33.000000	32.0	4.6	6.95	7.22e-17	18.38	3.56e-29	0.95
chr9-472	chr9	133160900	133161218	+	20.0	0.857	32.000000	32.0	4.6	6.95	7.22e-17	17.40	1.88e-28	0.95
chr9-453	chr9	133532986	133533304	+	20.0	0.757	33.000000	32.0	4.6	6.95	7.22e-17	11.46	4.72e-23	0.95
chr9-445	chr9	136147577	136147895	+	20.0	0.972	34.000000	32.0	2.0	15.65	4.59e-27	16.51	9.09e-28	0.95
chr10-397	chr10	3898918	3899236	+	20.0	0.889	34.000000	32.0	3.6	8.94	6.23e-20	15.97	2.48e-27	0.95
chr10-436	chr10	21672094	21672412	+	20.0	0.912	32.000000	32.0	5.6	5.69	1.66e-14	9.28	2.16e-20	0.95
chr10-419	chr10	22823003	22823321	+	20.0	0.718	33.000000	32.0	3.6	8.94	6.23e-20	14.54	4.12e-26	0.95
chr10-389	chr10	29318539	29318857	+	20.0	0.667	35.000000	32.0	5.1	6.26	1.28e-15	7.86	2.42e-18	0.95
chr10-422	chr10	43109434	43109752	+	20.0	0.941	33.000000	32.0	1.5	20.86	7.56e-31	8.70	1.37e-19	0.95
chr10-394	chr10	75431439	75431757	+	20.0	0.714	35.000000	32.0	1.0	31.30	2.87e-36	6.50	4.70e-16	0.95
chr10-409	chr10	88008896	88009214	+	20.0	0.800	34.000000	32.0	3.6	8.94	6.23e-20	18.38	3.56e-29	0.95
chr10-445	chr10	104253127	104253445	+	20.0	0.725	32.000000	32.0	4.6	6.95	7.22e-17	6.41	6.73e-16	0.95
chr10-447	chr10	112223358	112223676	+	20.0	0.833	32.000000	32.0	3.1	10.43	7.36e-22	6.86	1.05e-16	0.95
chr10-451	chr10	131787070	131787388	+	20.0	0.917	32.000000	32.0	4.1	7.82	2.73e-18	8.55	2.26e-19	0.95
chr11-443	chr11	2725664	2725982	+	20.0	0.897	34.000000	32.0	2.6	12.52	3.53e-24	5.73	1.37e-14	0.95
chr11-447	chr11	36594280	36594598	+	20.0	0.609	34.000000	32.0	6.1	5.22	1.64e-13	13.53	3.52e-25	0.95
chr11-448	chr11	44400451	44400769	+	20.0	0.868	34.000000	32.0	3.1	10.43	7.36e-22	29.52	1.75e-35	0.95
chr11-449	chr11	47361083	47361401	+	20.0	0.865	34.000000	32.0	4.1	7.82	2.73e-18	18.04	6.26e-29	0.95
chr11-454	chr11	60924238	60924556	+	20.0	0.756	33.000000	32.0	5.6	5.69	1.66e-14	14.99	1.67e-26	0.95
chr11-470	chr11	61186589	61186907	+	20.0	0.667	32.000000	32.0	2.6	12.52	3.53e-24	17.09	3.21e-28	0.95
chr11-455	chr11	61661014	61661332	+	20.0	0.861	33.000000	32.0	6.1	5.22	1.64e-13	15.46	6.53e-27	0.95
chr11-472	chr11	64916320	64916638	+	20.0	0.659	32.000000	32.0	4.6	6.95	7.22e-17	10.36	8.88e-22	0.95
chr11-450	chr11	66480189	66480507	+	20.0	0.674	34.000000	32.0	5.1	6.26	1.28e-15	7.22	2.59e-17	0.95
chr11-429	chr11	68121668	68121986	+	20.0	0.804	35.000000	32.0	3.1	10.43	7.36e-22	4.90	8.44e-13	0.95
chr11-421	chr11	72434433	72434751	+	20.0	0.592	36.000000	32.0	5.1	6.26	1.28e-15	6.96	7.09e-17	0.95
chr11-481	chr11	113184605	113184923	+	20.0	0.939	32.000000	32.0	2.6	12.52	3.53e-24	17.71	1.09e-28	0.95
chr11-482	chr11	116287882	116288200	+	20.0	0.853	32.000000	32.0	3.1	10.43	7.36e-22	21.65	2.44e-31	0.95
chr11-483	chr11	118673400	118673718	+	20.0	0.763	32.000000	32.0	4.6	6.95	7.22e-17	13.35	5.30e-25	0.95
chr11-484	chr11	119156086	119156404	+	20.0	0.857	32.000000	32.0	6.1	5.22	1.64e-13	15.22	1.05e-26	0.95
chr12-537	chr12	1933634	1933952	+	20.0	0.917	32.000000	32.0	3.1	10.43	7.36e-22	16.24	1.51e-27	0.95
chr12-524	chr12	7851715	7852033	+	20.0	0.897	33.000000	32.0	4.1	7.82	2.73e-18	13.92	1.52e-25	0.95
chr12-525	chr12	13212366	13212684	+	20.0	0.825	33.000000	32.0	3.1	10.43	7.36e-22	18.04	6.26e-29	0.95
chr12-526	chr12	28963544	28963862	+	20.0	0.892	33.000000	32.0	2.0	15.65	4.59e-27	21.65	2.44e-31	0.95
chr12-539	chr12	30763146	30763464	+	20.0	0.865	32.000000	32.0	2.6	12.52	3.53e-24	20.30	1.75e-30	0.95
chr12-540	chr12	38055213	38055531	+	20.0	0.914	32.000000	32.0	2.0	15.65	4.59e-27	25.64	1.36e-33	0.95
chr12-514	chr12	57235196	57235514	+	20.0	0.919	34.000000	32.0	3.6	8.94	6.23e-20	8.86	8.17e-20	0.95
chr12-543	chr12	77925436	77925754	+	20.0	0.743	32.000000	32.0	7.2	4.47	8.49e-12	23.76	1.41e-32	0.95
chr12-499	chr12	93015961	93016279	+	20.0	0.780	35.000000	32.0	5.6	5.69	1.66e-14	4.43	1.08e-11	0.95
chr12-516	chr12	99809993	99810311	+	20.0	0.946	34.000000	32.0	3.6	8.94	6.23e-20	21.65	2.44e-31	0.95
chr12-545	chr12	102849773	102850091	+	20.0	0.912	32.000000	32.0	3.1	10.43	7.36e-22	12.99	1.18e-24	0.95
chr12-530	chr12	103913143	103913461	+	20.0	0.919	33.000000	32.0	3.6	8.94	6.23e-20	18.04	6.26e-29	0.95
chr12-547	chr12	108519576	108519894	+	20.0	0.857	32.000000	32.0	1.5	20.86	7.56e-31	13.53	3.52e-25	0.95
chr12-519	chr12	122917555	122917873	+	20.0	0.816	34.000000	32.0	5.6	5.69	1.66e-14	18.04	6.26e-29	0.95
chr12-535	chr12	124668634	124668952	+	20.0	0.846	33.000000	32.0	5.6	5.69	1.66e-14	10.26	1.21e-21	0.95
chr13-158	chr13	21014909	21015227	+	20.0	0.750	33.000000	32.0	5.1	6.26	1.28e-15	9.46	1.24e-20	0.95
chr13-159	chr13	21871465	21871783	+	20.0	0.842	33.000000	32.0	2.6	12.52	3.53e-24	19.88	3.28e-30	0.95
chr13-155	chr13	33649436	33649754	+	20.0	0.897	34.000000	32.0	2.0	15.65	4.59e-27	12.99	1.18e-24	0.95
chr13-167	chr13	40221424	40221742	+	20.0	0.914	32.000000	32.0	1.5	20.86	7.56e-31	16.24	1.51e-27	0.95
chr13-147	chr13	49740997	49741315	+	20.0	0.800	35.000000	32.0	3.6	8.94	6.23e-20	11.46	4.72e-23	0.95
chr13-163	chr13	98988368	98988686	+	20.0	0.861	33.000000	32.0	2.0	15.65	4.59e-27	17.40	1.88e-28	0.95
chr14-422	chr14	20606015	20606333	+	20.0	0.700	33.000000	32.0	7.2	4.47	8.49e-12	6.01	3.77e-15	0.95
chr14-412	chr14	34208580	34208898	+	20.0	0.791	34.000000	32.0	6.6	4.81	1.30e-12	7.61	5.89e-18	0.95
chr14-414	chr14	35932818	35933136	+	20.0	0.732	34.000000	32.0	5.1	6.26	1.28e-15	7.67	4.73e-18	0.95
chr14-444	chr14	50042018	50042336	+	20.0	0.912	32.000000	32.0	4.1	7.82	2.73e-18	10.26	1.21e-21	0.95
chr14-446	chr14	54216860	54217178	+	20.0	0.882	32.000000	32.0	4.6	6.95	7.22e-17	20.30	1.75e-30	0.95
chr14-432	chr14	64338678	64338996	+	20.0	0.811	33.000000	32.0	5.1	6.26	1.28e-15	17.09	3.21e-28	0.95
chr14-433	chr14	80941651	80941969	+	20.0	0.816	33.000000	32.0	3.1	10.43	7.36e-22	14.54	4.12e-26	0.95
chr14-447	chr14	95037371	95037689	+	20.0	0.917	32.000000	32.0	2.0	15.65	4.59e-27	18.74	2.00e-29	0.95
chr14-449	chr14	101496188	101496506	+	20.0	0.853	32.000000	32.0	5.6	5.69	1.66e-14	17.40	1.88e-28	0.95
chr15-254	chr15	36940656	36940974	+	20.0	0.795	33.000000	32.0	1.5	20.86	7.56e-31	18.04	6.26e-29	0.95
chr15-264	chr15	40093448	40093766	+	20.0	0.886	32.000000	32.0	4.6	6.95	7.22e-17	8.19	7.61e-19	0.95
chr15-247	chr15	40379847	40380165	+	20.0	0.895	34.000000	32.0	4.1	7.82	2.73e-18	13.53	3.52e-25	0.95
chr15-265	chr15	43775386	43775704	+	20.0	0.914	32.000000	32.0	4.6	6.95	7.22e-17	9.65	7.08e-21	0.95
chr15-256	chr15	64216973	64217291	+	20.0	0.846	33.000000	32.0	5.1	6.26	1.28e-15	17.71	1.09e-28	0.95
chr15-258	chr15	73865911	73866229	+	20.0	0.846	33.000000	32.0	1.0	31.30	2.87e-36	21.65	2.44e-31	0.95
chr15-245	chr15	82809492	82809810	+	20.0	0.805	35.000000	32.0	7.2	4.47	8.49e-12	9.55	9.40e-21	0.95
chr16-708	chr16	13530673	13530991	+	20.0	0.821	34.000000	32.0	2.6	12.52	3.53e-24	10.36	8.88e-22	0.95
chr16-726	chr16	27850861	27851179	+	20.0	0.946	33.000000	32.0	3.1	10.43	7.36e-22	12.65	2.57e-24	0.95
chr16-756	chr16	31108191	31108509	+	20.0	0.659	32.000000	32.0	7.7	4.17	4.72e-11	5.07	3.35e-13	0.95
chr16-758	chr16	47045034	47045352	+	20.0	0.886	32.000000	32.0	7.7	4.17	4.72e-11	11.20	9.32e-23	0.95
chr16-761	chr16	50326883	50327201	+	20.0	0.692	32.000000	32.0	6.6	4.81	1.30e-12	8.26	5.99e-19	0.95
chr16-762	chr16	50497072	50497390	+	20.0	0.833	32.000000	32.0	5.6	5.69	1.66e-14	10.15	1.63e-21	0.95
chr16-736	chr16	68512131	68512449	+	20.0	0.946	33.000000	32.0	2.6	12.52	3.53e-24	13.35	5.30e-25	0.95
chr16-738	chr16	69396563	69396881	+	20.0	0.810	33.000000	32.0	5.1	6.26	1.28e-15	6.86	1.05e-16	0.95
chr16-769	chr16	81166976	81167294	+	20.0	0.842	32.000000	32.0	0.5	62.59	1.08e-45	14.76	2.63e-26	0.95
chr17-703	chr17	2353035	2353353	+	20.0	0.889	33.000000	32.0	7.7	4.17	4.72e-11	28.66	4.40e-35	0.95
chr17-704	chr17	2566122	2566440	+	20.0	0.833	33.000000	32.0	0.3	125.18	3.25e-55	17.09	3.21e-28	0.95
chr17-740	chr17	8249155	8249473	+	20.0	0.811	32.000000	32.0	6.6	4.81	1.30e-12	10.71	3.46e-22	0.95
chr17-743	chr17	18021309	18021627	+	20.0	0.941	32.000000	32.0	3.6	8.94	6.23e-20	8.94	6.30e-20	0.95
chr17-709	chr17	38903451	38903769	+	20.0	0.730	33.000000	32.0	3.6	8.94	6.23e-20	12.82	1.75e-24	0.95
chr17-711	chr17	42287554	42287872	+	20.0	0.789	33.000000	32.0	5.1	6.26	1.28e-15	8.05	1.22e-18	0.95
chr17-713	chr17	48548226	48548544	+	20.0	0.941	33.000000	32.0	2.0	15.65	4.59e-27	13.72	2.32e-25	0.95
chr17-716	chr17	60163566	60163884	+	20.0	0.943	33.000000	32.0	7.2	4.47	8.49e-12	8.78	1.06e-19	0.95
chr17-720	chr17	65785197	65785515	+	20.0	0.732	33.000000	32.0	6.1	5.22	1.64e-13	8.55	2.26e-19	0.95
chr17-721	chr17	66351899	66352217	+	20.0	0.821	33.000000	32.0	3.6	8.94	6.23e-20	8.05	1.22e-18	0.95
chr17-724	chr17	74408252	74408570	+	20.0	0.800	33.000000	32.0	6.1	5.22	1.64e-13	12.65	2.57e-24	0.95
chr17-726	chr17	76376360	76376678	+	20.0	0.674	33.000000	32.0	7.7	4.17	4.72e-11	5.32	9.58e-14	0.95
chr17-728	chr17	76691824	76692142	+	20.0	0.750	33.000000	32.0	6.6	4.81	1.30e-12	6.54	3.91e-16	0.95
chr17-764	chr17	81143097	81143415	+	20.0	0.730	32.000000	32.0	7.7	4.17	4.72e-11	9.11	3.71e-20	0.95
chr17-739	chr17	82751822	82752140	+	20.0	0.700	33.000000	32.0	6.1	5.22	1.64e-13	8.40	3.70e-19	0.95
chr18-178	chr18	570645	570963	+	20.0	0.914	32.000000	32.0	2.6	12.52	3.53e-24	15.46	6.53e-27	0.95
chr18-179	chr18	2655133	2655451	+	20.0	0.829	32.000000	32.0	6.6	4.81	1.30e-12	17.40	1.88e-28	0.95
chr18-172	chr18	2901628	2901946	+	20.0	0.917	34.000000	32.0	4.1	7.82	2.73e-18	11.33	6.65e-23	0.95
chr18-173	chr18	55096277	55096595	+	20.0	0.865	34.000000	32.0	6.1	5.22	1.64e-13	27.06	2.57e-34	0.95
chr18-175	chr18	70296503	70296821	+	20.0	0.763	34.000000	32.0	7.7	4.17	4.72e-11	12.49	3.77e-24	0.95
chr19-641	chr19	6765091	6765409	+	20.0	0.857	33.000000	32.0	2.6	12.52	3.53e-24	4.01	1.26e-10	0.95
chr19-661	chr19	12669370	12669688	+	20.0	0.733	32.000000	32.0	6.1	5.22	1.64e-13	9.94	2.97e-21	0.95
chr19-618	chr19	17078588	17078906	+	20.0	0.775	35.000000	32.0	2.0	15.65	4.59e-27	7.79	3.04e-18	0.95
chr19-645	chr19	17370114	17370432	+	20.0	0.886	33.000000	32.0	1.5	20.86	7.56e-31	31.43	2.52e-36	0.95
chr19-669	chr19	46289298	46289616	+	20.0	0.800	32.000000	32.0	1.0	31.30	2.87e-36	12.49	3.77e-24	0.95
chr19-652	chr19	57814807	57815125	+	20.0	0.667	33.000000	32.0	6.6	4.81	1.30e-12	5.21	1.69e-13	0.95
chr20-707	chr20	659050	659368	+	20.0	0.795	33.000000	32.0	4.6	6.95	7.22e-17	8.70	1.37e-19	0.95
chr20-708	chr20	1418234	1418552	+	20.0	0.821	33.000000	32.0	3.6	8.94	6.23e-20	9.46	1.24e-20	0.95
chr20-714	chr20	10962984	10963302	+	20.0	0.861	33.000000	32.0	6.6	4.81	1.30e-12	8.33	4.71e-19	0.95
chr20-715	chr20	13689418	13689736	+	20.0	0.917	33.000000	32.0	2.6	12.52	3.53e-24	6.67	2.24e-16	0.95
chr20-745	chr20	15242775	15243093	+	20.0	0.778	32.000000	32.0	7.7	4.17	4.72e-11	11.20	9.32e-23	0.95
chr20-717	chr20	20307952	20308270	+	20.0	0.800	33.000000	32.0	4.1	7.82	2.73e-18	11.60	3.34e-23	0.95
chr20-749	chr20	20892419	20892737	+	20.0	0.941	32.000000	32.0	2.6	12.52	3.53e-24	10.36	8.88e-22	0.95
chr20-694	chr20	24808625	24808943	+	20.0	0.737	34.000000	32.0	4.1	7.82	2.73e-18	10.36	8.88e-22	0.95
chr20-724	chr20	33664382	33664700	+	20.0	0.838	33.000000	32.0	5.1	6.26	1.28e-15	6.96	7.09e-17	0.95
chr20-725	chr20	34274803	34275121	+	20.0	0.861	33.000000	32.0	5.1	6.26	1.28e-15	8.70	1.37e-19	0.95
